Unnamed: 0,Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,day,time,timestamp,bpm
189,37,23,49,0,92.0,0,1,0,0,65.57,1,09:53:09,2023-01-01 09:53:09,87.46355685131195
190,3,24,94,1,90.0,0,1,0,0,97.06,1,09:53:10,2023-01-01 09:53:10,86.83068017366136
191,30,4,120,1,90.0,0,1,0,0,123.76,1,09:53:11,2023-01-01 09:53:11,85.22727272727273
192,33,6,113,1,89.0,0,1,0,0,117.87,1,09:53:12,2023-01-01 09:53:12,82.19178082191782
193,14,1,80,1,88.0,0,1,0,0,81.22,1,09:53:13,2023-01-01 09:53:13,80.86253369272237
194,33,13,127,0,88.0,0,1,0,0,131.86,1,09:53:14,2023-01-01 09:53:14,81.19079837618403
195,6,2,82,2,86.0,0,0,1,0,82.24,1,09:53:15,2023-01-01 09:53:15,78.22685788787483
196,36,18,145,0,86.0,0,1,0,0,150.48,1,09:53:16,2023-01-01 09:53:16,76.62835249042145
197,29,4,86,1,85.0,0,1,0,0,90.85,1,09:53:17,2023-01-01 09:53:17,73.71007371007371
198,0,0,65,1,82.0,0,0,1,0,65.0,1,09:53:18,2023-01-01 09:53:18,78.74015748031496
199,51,35,115,0,81.0,0,1,0,0,130.58,1,09:53:19,2023-01-01 09:53:19,76.62835249042145
200,47,105,75,1,81.0,0,1,0,0,137.33,1,09:53:20,2023-01-01 09:53:20,76.04562737642586
201,20,12,72,0,80.0,0,1,0,0,75.68,1,09:53:21,2023-01-01 09:53:21,77.22007722007721
202,29,10,94,1,80.0,0,1,0,0,98.88,1,09:53:22,2023-01-01 09:53:22,79.7872340425532
203,6,4,48,1,79.0,0,0,1,0,48.54,1,09:53:23,2023-01-01 09:53:23,79.36507936507937
204,9,24,9,0,79.0,0,1,0,0,27.17,1,09:53:24,2023-01-01 09:53:24,75.0
205,24,14,42,1,79.0,0,1,0,0,50.36,1,09:53:25,2023-01-01 09:53:25,74.62686567164178
206,6,5,19,0,79.0,0,0,1,0,20.54,1,09:53:26,2023-01-01 09:53:26,75.47169811320754
207,12,13,32,0,78.0,0,1,0,0,36.57,1,09:53:27,2023-01-01 09:53:27,72.28915662650603
208,10,7,16,1,78.0,0,1,0,0,20.12,1,09:53:28,2023-01-01 09:53:28,68.25938566552901
209,8,14,33,1,76.0,0,1,0,0,36.73,1,09:53:29,2023-01-01 09:53:29,73.98273736128236
210,40,62,69,1,75.0,0,1,0,0,101.02,1,09:53:30,2023-01-01 09:53:30,73.98273736128236
211,29,10,98,1,75.0,0,1,0,0,102.69,1,09:53:31,2023-01-01 09:53:31,74.34944237918215
212,49,8,68,1,75.0,0,1,0,0,84.2,1,09:53:32,2023-01-01 09:53:32,80.97165991902834
213,24,4,18,1,75.0,0,1,0,0,30.27,1,09:53:33,2023-01-01 09:53:33,82.3045267489712
214,91,32,76,0,76.0,0,1,0,0,122.8,1,09:53:34,2023-01-01 09:53:34,80.8712424874041
215,194,66,153,1,76.0,0,1,0,0,255.74,1,09:53:35,2023-01-01 09:53:35,79.43795822583702
222,10,57,17,1,74.0,0,1,0,0,60.32,1,09:53:42,2023-01-01 09:53:42,76.04562737642586
223,34,119,36,1,74.0,0,1,0,0,128.89,1,09:53:43,2023-01-01 09:53:43,71.00591715976331
224,49,48,37,1,74.0,0,1,0,0,77.94,1,09:53:44,2023-01-01 09:53:44,73.98273736128236
225,55,5,47,1,73.0,0,1,0,0,72.52,1,09:53:45,2023-01-01 09:53:45,74.34944237918215
226,8,6,7,1,73.0,0,1,0,0,12.21,1,09:53:46,2023-01-01 09:53:46,71.8562874251497
227,85,13,10,0,73.0,0,1,0,0,86.57,1,09:53:47,2023-01-01 09:53:47,70.92198581560284
228,38,8,6,0,73.0,0,1,0,0,39.29,1,09:53:48,2023-01-01 09:53:48,74.25742574257426
229,33,0,0,0,73.0,0,1,0,0,33.0,1,09:53:49,2023-01-01 09:53:49,70.2576112412178
230,8,0,0,0,73.0,0,1,0,0,8.0,1,09:53:50,2023-01-01 09:53:50,68.96551724137932
231,0,0,0,0,72.0,1,0,0,0,0.0,1,09:53:51,2023-01-01 09:53:51,73.26007326007327
232,0,0,0,0,72.0,1,0,0,0,0.0,1,09:53:52,2023-01-01 09:53:52,71.25890736342043
233,0,0,0,0,72.0,1,0,0,0,0.0,1,09:53:53,2023-01-01 09:53:53,72.90400972053463
234,0,0,0,0,72.0,1,0,0,0,0.0,1,09:53:54,2023-01-01 09:53:54,66.07929515418502
235,0,0,0,0,72.0,1,0,0,0,0.0,1,09:53:55,2023-01-01 09:53:55,64.6551724137931
236,0,0,0,1,72.0,1,0,0,0,0.0,1,09:53:56,2023-01-01 09:53:56,68.72852233676976
237,0,0,0,0,71.0,1,0,0,0,0.0,1,09:53:57,2023-01-01 09:53:57,62.5
238,0,0,0,0,71.0,1,0,0,0,0.0,1,09:53:58,2023-01-01 09:53:58,62.30529595015577
239,7,30,3,0,70.0,0,1,0,0,30.95,1,09:53:59,2023-01-01 09:53:59,67.56756756756756
240,5,25,3,1,69.0,1,0,0,0,25.67,1,09:54:00,2023-01-01 09:54:00,68.80733944954129
